datetime,shape_pu,load_kw_low,load_kw_base,load_kw_high
1900-01-01 01:00:00,0.23292783558619962,9.572376804912313,11.96547100614039,14.35856520736847
1900-01-01 02:00:00,0.232929047281559,9.572426600612014,11.965533250765017,14.358639900918021
1900-01-01 03:00:00,0.232929047281559,9.572426600612014,11.965533250765017,14.358639900918021
1900-01-01 04:00:00,0.232929047281559,9.572426600612014,11.965533250765017,14.358639900918021
1900-01-01 05:00:00,0.232929047281559,9.572426600612014,11.965533250765017,14.358639900918021
1900-01-01 06:00:00,0.232929047281559,9.572426600612014,11.965533250765017,14.358639900918021
1900-01-01 07:00:00,0.33116025808537475,13.609325674741427,17.011657093426784,20.413988512112144
1900-01-01 08:00:00,0.2375173552496317,9.760987202039658,12.201234002549572,14.641480803059489
1900-01-01 09:00:00,0.23436122089688505,9.631283050556918,12.03910381319615,14.44692457583538
1900-01-01 10:00:00,0.23269610560271758,9.5628536549062,11.953567068632752,14.344280482359304
1900-01-01 11:00:00,0.232575210400153,9.557885358910397,11.947356698637996,14.336828038365596
1900-01-01 12:00:00,0.2891066378574422,11.881094706470225,14.851368383087783,17.82164205970534
1900-01-01 13:00:00,0.34191540826281475,14.051318147786906,17.564147684733634,21.076977221680362
1900-01-01 14:00:00,0.36786162367119474,15.117600972788823,18.89700121598603,22.67640145918324
1900-01-01 15:00:00,0.3464598664143683,14.238076701960342,17.797595877450426,21.357115052940514
1900-01-01 16:00:00,0.29373571070271376,12.071330576823852,15.089163221029816,18.10699586523578
1900-01-01 17:00:00,0.2334798876596483,9.595063876423902,11.993829845529877,14.392595814635856
1900-01-01 18:00:00,0.2613683473990624,10.741164961605303,13.426456202006628,16.111747442407957
1900-01-01 19:00:00,0.2878947631846709,11.831291637726201,14.78911454715775,17.7469374565893
1900-01-01 20:00:00,0.24571814807873463,10.09800608542745,12.622507606784312,15.147009128141177
1900-01-01 21:00:00,0.24571814807873463,10.09800608542745,12.622507606784312,15.147009128141177
1900-01-01 22:00:00,0.24571814807873463,10.09800608542745,12.622507606784312,15.147009128141177
1900-01-01 23:00:00,0.24571814807873463,10.09800608542745,12.622507606784312,15.147009128141177
1900-01-02 00:00:00,0.24571814807873463,10.09800608542745,12.622507606784312,15.147009128141177
1900-01-02 01:00:00,0.28945709792084473,11.895497174829234,14.869371468536544,17.843245762243853
1900-01-02 02:00:00,0.28945709792084473,11.895497174829234,14.869371468536544,17.843245762243853
1900-01-02 03:00:00,0.28945709792084473,11.895497174829234,14.869371468536544,17.843245762243853
1900-01-02 04:00:00,0.28945709792084473,11.895497174829234,14.869371468536544,17.843245762243853
1900-01-02 05:00:00,0.28945709792084473,11.895497174829234,14.869371468536544,17.843245762243853
1900-01-02 06:00:00,0.28945709792084473,11.895497174829234,14.869371468536544,17.843245762243853
1900-01-02 07:00:00,0.5459430228164506,22.436014636292487,28.045018295365608,33.65402195443873
1900-01-02 08:00:00,0.828240785826829,34.03729256822585,42.54661571028231,51.05593885233878
1900-01-02 09:00:00,1.7246495302557199,70.87600809270081,88.59501011587602,106.31401213905123
1900-01-02 10:00:00,1.5469818298302633,63.57459574644918,79.46824468306147,95.36189361967376
1900-01-02 11:00:00,1.5380378860056059,63.20703641118928,79.0087955139866,94.81055461678393
1900-01-02 12:00:00,1.6105395176417097,66.18655551952232,82.73319439940289,99.27983327928348
1900-01-02 13:00:00,1.610694569560762,66.1929275161957,82.74115939524462,99.28939127429355
1900-01-02 14:00:00,1.6879753140758489,69.36884852366502,86.71106065458127,104.05327278549754
1900-01-02 15:00:00,1.6123970947558144,66.26289430503347,82.82861788129183,99.39434145755021
1900-01-02 16:00:00,1.6036196637435536,65.90217796206385,82.3777224525798,98.85326694309578
1900-01-02 17:00:00,1.673056555567627,68.75574885894356,85.94468607367946,103.13362328841536
1900-01-02 18:00:00,1.2661823708687316,52.034891953509515,65.0436149418869,78.05233793026429
1900-01-02 19:00:00,0.8219884650834454,33.78034788014159,42.22543485017699,50.670521820212386
