battery_kwh,reliability_mean,reliability_std,reliability_p05,reliability_p95
0,0.7317330475046906,0.0016796504228651892,0.7291583839702771,0.7342722959028385
10,0.737498752585958,0.0016691173319098374,0.7349593941153103,0.7399763137839824
20,0.7432544777044591,0.0016599991650373736,0.7407468190560084,0.745698157894519
30,0.7490025372069463,0.0016510732902280164,0.7465327470053985,0.7514184005057122
40,0.7547456632972144,0.0016428199527729447,0.7523114755354166,0.7571414475207394
50,0.7604854395653384,0.0016354868589676186,0.7580732800441068,0.7629311542313417
60,0.7662227631196672,0.0016281562164239245,0.7638293009333171,0.7687207399412725
70,0.7719586656582941,0.0016214192943913807,0.7696151383464499,0.7745103256512031
80,0.777693680886902,0.0016156340599116207,0.7753356001218751,0.7802530780436567
90,0.783428325710343,0.0016105366624159765,0.7810416805014799,0.785981079626874
100,0.7891620271707802,0.0016060499075748133,0.7867493648642966,0.7917070773967999
110,0.794893762902991,0.0016022940538523392,0.7924480687577636,0.7974329179261604
120,0.8006224648553797,0.0015986027026642171,0.7981763583724246,0.803158758455521
130,0.8063473909971525,0.0015956785538577202,0.8039283475489098,0.8088845989848816
140,0.812069541142975,0.0015937650269004344,0.8096803367253951,0.8145972455976881
150,0.8177895243478024,0.001592236103018361,0.8154323259018803,0.820308206917115
160,0.8235082856732234,0.0015909133976351453,0.8211843150783655,0.8260184178840724
170,0.829226230605599,0.0015905454458055293,0.8269363042548508,0.8317285926390707
180,0.8349413412269496,0.0015913684923742736,0.8326732124289083,0.8374387673940692
190,0.8406491042621477,0.0015924154535052575,0.8383836985722418,0.8431420160352451
200,0.8463395177346638,0.0015913928766368855,0.8440926327777486,0.8488263076528986
210,0.8519911371712506,0.001592720252194144,0.8497405624681601,0.8544535157583105
220,0.8575696148385222,0.0015923966405717983,0.8553381288501057,0.8599765480759346
230,0.8630394056023275,0.0015923213205212088,0.8608496654413386,0.8653968155176127
240,0.8683736658757699,0.0015935993218960146,0.8662326971709747,0.870777159310883
250,0.8735504411705325,0.0015946095521477848,0.8714542882350853,0.8759825774155364
260,0.8785577869709076,0.001594735823266828,0.8765073589962542,0.8810650441863521
270,0.8834100024515129,0.0016001799299385636,0.8813629069435759,0.8860258153876198
280,0.888131362806548,0.0016061208657778471,0.886042377561128,0.89079806639589
290,0.8927486880966546,0.0016112721998157219,0.8906774449987335,0.8954031403682196
300,0.8972848413940802,0.0016133547315504973,0.8952321708714546,0.8999356656293873
310,0.9017570077884207,0.0016133126112960504,0.8997382869205324,0.904425809187328
320,0.9061783310845256,0.0016151439753985806,0.9042046492827699,0.9088866923139997
330,0.9105568269901917,0.001616554744790454,0.9085650902759119,0.913307726383796
340,0.9148940156510775,0.0016170732938325845,0.9128874223212952,0.9176786309366703
350,0.9191887555540965,0.0016186785531813498,0.9171261382477526,0.9219639522736941
360,0.9234338549614179,0.0016208480443377772,0.9213181177645883,0.9261966075717344
370,0.9276256393136935,0.001620673793095026,0.9254648406067826,0.9304101455144994
380,0.9317541728787332,0.001618927234857303,0.9295628458982055,0.9345438835642241
390,0.9358063751586702,0.0016174221258190855,0.9335677904172751,0.9386105304535971
400,0.9397753947433621,0.0016145024445032754,0.9375232398259918,0.9425437275813953
410,0.9436485569296217,0.0016050662142073698,0.9413353654833828,0.9463456509164291
420,0.9474151940381818,0.0015911946462174645,0.944992716245365,0.9500486434718467
430,0.951063468430059,0.001572400280162345,0.9486566041299256,0.9536555944859203
440,0.9545812227415528,0.0015471081132674969,0.9522771819614869,0.9571637357230637
450,0.9579546534283808,0.0015189284059728512,0.9556341544492631,0.9604888501379248
460,0.9611796702483498,0.0014854880778122793,0.9588973777980345,0.96366194370179
470,0.9642593832947476,0.0014499443241368138,0.9620415504386632,0.9666775200031158
480,0.9671960197978744,0.001411210389727001,0.9650933705243229,0.9695431841479867
490,0.9699815806817288,0.001371905541564656,0.9679990031386926,0.9722304653784797
